,filename,image_path,face,mask,age
0,00000033_(6).jpg,images/test3/face/00000033_(6).jpg,1,0,0
1,100_1_2_20170112222336458.jpg,images/test3/face/100_1_2_20170112222336458.jpg,1,0,100
2,10_0_0_20170110220111082.jpg,images/test3/face/10_0_0_20170110220111082.jpg,1,0,10
3,10_0_0_20170110220403810.jpg,images/test3/face/10_0_0_20170110220403810.jpg,1,0,10
4,10_0_0_20170110221714752.jpg,images/test3/face/10_0_0_20170110221714752.jpg,1,0,10
5,10_0_0_20170110221811823.jpg,images/test3/face/10_0_0_20170110221811823.jpg,1,0,10
6,10_0_0_20170110224255796.jpg,images/test3/face/10_0_0_20170110224255796.jpg,1,0,10
7,10_0_0_20170110224402264.jpg,images/test3/face/10_0_0_20170110224402264.jpg,1,0,10
8,10_0_0_20170110224725285.jpg,images/test3/face/10_0_0_20170110224725285.jpg,1,0,10
9,10_0_0_20170110225402690.jpg,images/test3/face/10_0_0_20170110225402690.jpg,1,0,10
10,10_0_0_20170110225442428.jpg,images/test3/face/10_0_0_20170110225442428.jpg,1,0,10
11,10_0_0_20170110225557604.jpg,images/test3/face/10_0_0_20170110225557604.jpg,1,0,10
12,10_0_1_20170110225121326.jpg,images/test3/face/10_0_1_20170110225121326.jpg,1,0,10
13,10_0_3_20170104225238736.jpg,images/test3/face/10_0_3_20170104225238736.jpg,1,0,10
14,10_0_4_20161221192738446.jpg,images/test3/face/10_0_4_20161221192738446.jpg,1,0,10
15,10_0_4_20170103200443015.jpg,images/test3/face/10_0_4_20170103200443015.jpg,1,0,10
16,10_0_4_20170103200501766.jpg,images/test3/face/10_0_4_20170103200501766.jpg,1,0,10
17,10_1_0_20170109204422889.jpg,images/test3/face/10_1_0_20170109204422889.jpg,1,0,10
18,10_1_0_20170109204859493.jpg,images/test3/face/10_1_0_20170109204859493.jpg,1,0,10
19,10_1_0_20170109204931156.jpg,images/test3/face/10_1_0_20170109204931156.jpg,1,0,10
20,10_1_0_20170109205208368.jpg,images/test3/face/10_1_0_20170109205208368.jpg,1,0,10
21,10_1_1_20170109202938302.jpg,images/test3/face/10_1_1_20170109202938302.jpg,1,0,10
22,10_1_3_20170112211048149.jpg,images/test3/face/10_1_3_20170112211048149.jpg,1,0,10
23,10_1_4_20170104005649671.jpg,images/test3/face/10_1_4_20170104005649671.jpg,1,0,10
24,11_0_0_20170110220657089.jpg,images/test3/face/11_0_0_20170110220657089.jpg,1,0,11
25,11_0_0_20170110224408700.jpg,images/test3/face/11_0_0_20170110224408700.jpg,1,0,11
26,11_1_0_20170109203422194.jpg,images/test3/face/11_1_0_20170109203422194.jpg,1,0,11
27,11_1_0_20170109204833458.jpg,images/test3/face/11_1_0_20170109204833458.jpg,1,0,11
28,11_1_0_20170109205214234.jpg,images/test3/face/11_1_0_20170109205214234.jpg,1,0,11
29,11_1_0_20170109205441860.jpg,images/test3/face/11_1_0_20170109205441860.jpg,1,0,11
