Wall time,Step,Value
1670494677.503741,0,1.6753456592559814
1670494696.902664,1,1.620283603668213
1670494716.53651,2,1.604204773902893
1670494736.001578,3,1.6012667417526245
1670494755.453545,4,1.5900025367736816
1670494774.968306,5,1.580101490020752
1670494794.507825,6,1.5811742544174194
1670494814.100804,7,1.5806117057800293
1670494833.577602,8,1.565659999847412
1670494853.031133,9,1.5749796628952026
1670494872.682558,10,1.565503478050232
1670494892.242029,11,1.5656100511550903
1670494911.776767,12,1.5640405416488647
1670494931.334015,13,1.568541407585144
1670494950.919493,14,1.5654247999191284
1670494970.428192,15,1.5553983449935913
1670494989.83059,16,1.5576304197311401
1670495009.349565,17,1.5659112930297852
1670495028.873188,18,1.5589935779571533
1670495048.523162,19,1.5598089694976807
1670495068.387236,20,1.5636742115020752
1670495088.065733,21,1.5597686767578125
1670495107.815761,22,1.5522987842559814
1670495127.410828,23,1.5572153329849243
1670495147.19712,24,1.5598645210266113
1670495166.890354,25,1.5509032011032104
1670495186.639805,26,1.55758798122406
1670495206.342375,27,1.5574660301208496
1670495225.908905,28,1.558779239654541
1670495245.655817,29,1.552667498588562
1670495265.40982,30,1.5568612813949585
1670495285.124781,31,1.5527490377426147
1670495304.793923,32,1.5509874820709229
1670495324.39363,33,1.5538222789764404
1670495344.091221,34,1.5596879720687866
1670495363.83443,35,1.5640088319778442
1670495383.500395,36,1.561916708946228
1670495403.100077,37,1.5509893894195557
1670495422.653568,38,1.5545521974563599
1670495442.343239,39,1.5504169464111328
1670495462.004244,40,1.551161766052246
1670495481.661316,41,1.557403564453125
1670495501.149753,42,1.5446436405181885
1670495520.82654,43,1.5526527166366577
1670495540.509794,44,1.5543339252471924
1670495560.147545,45,1.5516940355300903
1670495579.687266,46,1.5558961629867554
1670495599.281383,47,1.554403305053711
1670495619.045765,48,1.5534768104553223
1670495638.763308,49,1.5564980506896973
1670495658.444641,50,1.5504529476165771
1670495678.082911,51,1.5489250421524048
1670495697.754003,52,1.5576120615005493
1670495717.466771,53,1.5488041639328003
1670495737.190816,54,1.5532039403915405
1670495756.729159,55,1.5472673177719116
1670495776.362276,56,1.5468058586120605
1670495795.999432,57,1.554631233215332
1670495815.655558,58,1.5536558628082275
1670495835.146031,59,1.550795078277588
1670495854.800422,60,1.5472444295883179
1670495874.322911,61,1.5472455024719238
1670495893.900877,62,1.5552875995635986
1670495913.350909,63,1.5482397079467773
1670495932.988394,64,1.546277642250061
1670495952.572661,65,1.546816349029541
1670495972.126059,66,1.5480892658233643
1670495991.616134,67,1.5523854494094849
1670496011.301439,68,1.547083854675293
1670496030.863064,69,1.5432301759719849
1670496050.529437,70,1.5503474473953247
1670496069.979245,71,1.5486927032470703
1670496089.5391,72,1.5437508821487427
1670496109.187284,73,1.5433225631713867
1670496128.745365,74,1.5435495376586914
1670496148.151609,75,1.5501607656478882
1670496167.719648,76,1.5530695915222168
1670496187.363404,77,1.548662543296814
1670496206.877601,78,1.5468404293060303
1670496226.328305,79,1.5440112352371216
1670496246.080071,80,1.5560821294784546
1670496265.762814,81,1.5468870401382446
1670496285.49588,82,1.5540738105773926
1670496305.172826,83,1.5483382940292358
1670496324.724802,84,1.5476566553115845
1670496344.468038,85,1.5461616516113281
1670496364.190991,86,1.5418297052383423
1670496385.105101,87,1.549616813659668
1670496404.886809,88,1.5453113317489624
1670496424.596421,89,1.5537341833114624
1670496444.46857,90,1.54838228225708
1670496464.174687,91,1.5479151010513306
1670496484.025924,92,1.5520024299621582
1670496503.530136,93,1.55052649974823
1670496523.153343,94,1.54778254032135
1670496542.874005,95,1.5422484874725342
1670496562.525571,96,1.548612117767334
1670496582.110059,97,1.5448869466781616
1670496601.657502,98,1.5454503297805786
1670496621.327408,99,1.5442544221878052
